sensor type id,sensor name,latitude,longitude
16,BS-R4-1,34.06593,-118.3800682
16,BS-R4-2,34.065924,-118.3799668
16,BS-R4-3,34.06691933,-118.3923299
16,BS-R4-4,34.06719585,-118.3924742
16,BS-R4-5,34.06719549,-118.3927549
16,BS-R4-6,34.06719141,-118.3913849
16,BS-R4-7,34.06720598,-118.3907041
16,BS-R4-8,34.06708464,-118.3832053
16,BS-R4-9,34.06628555,-118.3812126
16,BS-R4-10,34.06653508,-118.3811186
16,BS-R4-11,34.06567113,-118.3774483
16,BS-R4-12,34.06530076,-118.3782249
16,BS-R4-13,34.06543456,-118.3782301
16,BS-R4-14,34.06549078,-118.3780025
16,BS-R4-15,34.06524158,-118.3779931
16,BS-R4-16,34.06543769,-118.3781076
16,BS-R4-17,34.06561801,-118.3790531
16,BS-R4-18,34.06560773,-118.3790009
16,BS-R4-19,34.06573312,-118.3789737
16,BS-R4-20,34.06575511,-118.3790587
16,BS-R4-21,34.06571034,-118.3788778
16,BS-R4-22,34.06577609,-118.3792919
16,BS-R4-23,34.06557907,-118.3792926
16,BS-R4-24,34.06582571,-118.3795037
16,BS-R4-25,34.0659027,-118.3796645
16,BS-R4-26,34.06593634,-118.3798014
16,BS-R4-27,34.06565014,-118.379499
16,BS-R4-28,34.06597053,-118.3799406
16,BS-R4-29,34.06600666,-118.3800711
16,BS-R4-30,34.06598265,-118.3803675
16,BS-R4-31,34.06585983,-118.3803627
16,BS-R4-32,34.0661868,-118.3808086
16,BS-R4-33,34.06591577,-118.3805756
16,BS-R4-34,34.06610233,-118.3805817
16,BS-R4-35,34.0662122,-118.3811191
16,BS-R4-36,34.06629091,-118.3814298
16,BS-R4-37,34.06613923,-118.3814282
16,BS-R4-38,34.06619217,-118.3816301
16,BS-R4-39,34.06637708,-118.3816369
16,BS-R4-40,34.06646874,-118.3819362
16,BS-R4-41,34.06640985,-118.3820505
16,BS-R4-42,34.06645764,-118.3822323
16,BS-R4-43,34.06651318,-118.3824832
16,BS-R4-44,34.06654254,-118.3822347
16,BS-R4-45,34.06668697,-118.3829617
16,BS-R4-46,34.06674311,-118.3832846
16,BS-R4-47,34.06690764,-118.3840847
16,BS-R4-48,34.06691575,-118.3852484
16,BS-R4-49,34.06691,-118.3852401
16,BS-R4-50,34.06691182,-118.3851011
16,BS-R4-51,34.06690564,-118.3850581
16,BS-R4-52,34.06691424,-118.3862363
16,BS-R4-53,34.06690574,-118.387345
16,BS-R4-54,34.06690947,-118.387982
16,BS-R4-55,34.06691627,-118.3880883
16,BS-R4-56,34.06691334,-118.3882299
16,BS-R4-57,34.06691484,-118.388363
16,BS-R4-58,34.06645782,-118.3826955
16,BS-R4-59,34.06661176,-118.3835438
16,BS-R4-60,34.06674553,-118.3838185
16,BS-R4-61,34.06671154,-118.3845695
16,BS-R4-62,34.06672001,-118.3847588
16,BS-R4-63,34.06690778,-118.3849033
16,BS-R4-64,34.06673252,-118.3855734
16,BS-R4-65,34.06691578,-118.3854101
16,BS-R4-66,34.06690952,-118.3859064
16,BS-R4-67,34.06673303,-118.3857583
16,BS-R4-68,34.06691126,-118.3865668
16,BS-R4-69,34.06673641,-118.3867634
16,BS-R4-70,34.06673877,-118.3875727
16,BS-R4-71,34.06673954,-118.387759
16,BS-R4-72,34.06691458,-118.3877601
16,BS-R4-73,34.06674186,-118.3885765
16,BS-R4-74,34.06691415,-118.3885776
16,BS-R4-75,34.06691599,-118.3891991
16,BS-R4-76,34.06691575,-118.389103
16,BS-R4-77,34.06691655,-118.3901352
16,BS-R4-78,34.06691783,-118.3903336
16,BS-R4-79,34.06689766,-118.3911332
16,BS-R4-80,34.06689763,-118.391397
16,BS-R4-81,34.06691903,-118.3931825
16,BS-R4-82,34.06692593,-118.3935124
16,BS-R4-83,34.06692202,-118.394037
16,BS-R4-84,34.06692206,-118.3946974
16,BS-R4-85,34.06692349,-118.3956873
16,BS-R4-86,34.0669232,-118.3953565
16,BS-R4-87,34.06674266,-118.3887535
16,BS-R4-88,34.06691787,-118.388787
16,BS-R4-89,34.06691642,-118.3895771
16,BS-R4-90,34.06674523,-118.389577
16,BS-R4-91,34.06674587,-118.3898045
16,BS-R4-92,34.06691679,-118.389805
16,BS-R4-93,34.06674859,-118.3906637
16,BS-R4-94,34.06691759,-118.3906638
16,BS-R4-95,34.06689724,-118.3908361
16,BS-R4-96,34.06674911,-118.3908436
16,BS-R4-97,34.06675159,-118.3916902
16,BS-R4-98,34.06689776,-118.3916936
16,BS-R4-99,34.06675237,-118.3918732
16,BS-R4-100,34.06691963,-118.3926601
16,BS-R4-101,34.06675806,-118.3937563
16,BS-R4-102,34.06675533,-118.3929057
16,BS-R4-103,34.06675661,-118.3947884
16,BS-R4-104,34.06675601,-118.3949723
16,BS-R4-105,34.06692291,-118.3950263
16,BS-R4-107,34.06675264,-118.3960035
16,BS-R4-108,34.06692439,-118.3960842
16,BS-R4-109,34.06720922,-118.3946964
16,BS-R4-110,34.06719375,-118.3914285
16,BS-R4-111,34.06719436,-118.3875752
16,BS-R4-112,34.0674278,-118.387185
16,BS-R4-114,34.06736098,-118.3944188
16,BS-R4-115,34.06736447,-118.3914025
16,BS-R4-116,34.06743354,-118.3865959
16,BS-R4-117,34.06735935,-118.3865949
16,BS-R4-118,34.06721091,-118.3961083
16,BS-R4-119,34.06735531,-118.3961523
16,BS-R4-120,34.06735669,-118.395731
16,BS-R4-121,34.06728648,-118.3956887
16,BS-R4-122,34.06723988,-118.3953193
16,BS-R4-123,34.06729899,-118.395143
16,BS-R4-124,34.06732242,-118.3950367
16,BS-R4-125,34.06736223,-118.3940371
16,BS-R4-126,34.06719691,-118.3940043
16,BS-R4-127,34.06735149,-118.393621
16,BS-R4-128,34.06719651,-118.3936213
16,BS-R4-129,34.06735785,-118.393105
16,BS-R4-130,34.06736846,-118.3933903
16,BS-R4-131,34.06719672,-118.3933902
16,BS-R4-132,34.06719684,-118.3931844
16,BS-R4-133,34.06736127,-118.392897
16,BS-R4-134,34.06737876,-118.3923334
16,BS-R4-135,34.06736661,-118.3911668
16,BS-R4-136,34.06738087,-118.3921082
16,BS-R4-137,34.06719399,-118.391692
16,BS-R4-138,34.06719157,-118.3911656
16,BS-R4-139,34.06725101,-118.3910553
16,BS-R4-140,34.06720375,-118.3910544
16,BS-R4-141,34.067393,-118.3908238
16,BS-R4-142,34.06720614,-118.3908246
16,BS-R4-143,34.06733313,-118.390219
16,BS-R4-144,34.06719194,-118.3903745
16,BS-R4-145,34.06719209,-118.3899872
16,BS-R4-146,34.06740287,-118.3898102
16,BS-R4-147,34.06719238,-118.3898109
16,BS-R4-148,34.067405,-118.3895761
16,BS-R4-149,34.06719035,-118.3890778
16,BS-R4-150,34.0671966,-118.3887573
16,BS-R4-151,34.06741452,-118.3885846
16,BS-R4-152,34.06719096,-118.3885479
16,BS-R4-153,34.06718762,-118.3882187
16,BS-R4-154,34.06722192,-118.3878903
16,BS-R4-155,34.06742233,-118.387777
16,BS-R4-156,34.06735869,-118.3875706
16,BS-R4-157,34.06719446,-118.3871145
16,BS-R4-158,34.06732558,-118.3870135
16,BS-R4-159,34.06732636,-118.3865981
16,BS-R4-160,34.06718787,-118.3865978
16,BS-R4-161,34.0671881,-118.3862692
16,BS-R4-162,34.06718701,-118.3859212
16,BS-R4-163,34.06718729,-118.3860929
16,BS-R4-164,34.06718691,-118.3857815
16,BS-R4-165,34.06739739,-118.3857838
16,BS-R4-166,34.06566917,-118.3775463
16,BS-R4-167,34.06737031,-118.385399
16,BS-R4-168,34.06744303,-118.3856024
16,BS-R4-169,34.06718296,-118.3851254
16,BS-R4-170,34.06718343,-118.3848045
16,BS-R4-171,34.0674338,-118.3847928
16,BS-R4-172,34.06739344,-118.3846097
16,BS-R4-173,34.06718554,-118.3840543
16,BS-R4-174,34.06736568,-118.3838352
16,BS-R4-175,34.06732896,-118.3835422
16,BS-R4-176,34.06717941,-118.3834778
16,BS-R4-177,34.06700706,-118.3828879
16,BS-R4-178,34.0669651,-118.3827768
16,BS-R4-179,34.06700541,-118.3827146
16,BS-R4-180,34.0671961,-118.3827201
16,BS-R4-181,34.06685819,-118.3823467
16,BS-R4-182,34.0671547,-118.3825181
16,BS-R4-183,34.06697115,-118.3819946
16,BS-R4-184,34.06698521,-118.3818035
16,BS-R4-185,34.06672222,-118.3818099
