sensor type id,sensor name,latitude,longitude
21,M-17,34.06556202,-118.3778916
21,M-402,34.06617984,-118.3801396
21,G-405/M-403,34.06712433,-118.386962
21,G-139   (MW),34.06706296,-118.3878473
21,G-407,34.06705515,-118.394417
21,E-126A/M-404,34.06706824,-118.3962922
21,G-11   (MW),34.06702619,-118.3972985
21,G-408/P-306,34.06704744,-118.3978569
21,OB-307,34.06705295,-118.3979362
21,OB-308,34.06705716,-118.3981584
21,E-125B/M-405,34.06706613,-118.3986897
21,G-410/M-406,34.06643358,-118.4088763
21,G-165  (NV)(MW),34.06131731,-118.4121068
21,G-166 A   (P)(NV),34.06082554,-118.4126402
21,G-412/E-132A/M-407,34.06016624,-118.4134683
